Skill,Category,Experience,Competency,LastUsed
Node JS,Environment,9.5,8,2024
JavaScript,Language,11,10,2023
TypeScript,Language,9,10,2024.4
C#,Language,10,8.5,2024
Next JS,Framework,5,9,2024
React,Library,7.5,10,2024
Angular,Framework,2,7,2017.5
Vue JS,Framework,1.5,5,2020
HTML5,Language,12,10,2024.4
CSS3,Language,11.5,10,2024
REST,API Standard,9,10,2024
GraphQL,API Standard,4,9,2023.9
jQuery,Library,11,10,2020
Ember JS,Framework,3,9,2023
ASP.NET,Framework,7,8,2024.4
Jest,Framework,7,10,2023.9
Cypress,Framework,5,9,2024
Qunit,Framework,3,9,2023
Chai,Library,1,7,2017
Mocha,Framework,1.5,7,2017
Jasmine,Framework,1,7,2015
NUnit,Framework,10,9,2024.4
Docker,Tools,6,9,2023
Kubernetes,Tools,4,7,2023
MS SQL,Database,8,9,2024
MySQL,Database,2,8,2016
Dynamo DB,Database,1,6,2024
PostgreSQL,Database,1.5,6,2014.5
Mongo DB,Database,1,6,2014
Redis,Database,2,6,2024
SharePoint,Platform,10.5,10,2018.5
Dynamics,Platform,3,7,2016
Power Apps,Platform,2,6,2018
Power BI,Platform,3,8,2018
Power Automate,Platform,2,6,2018
Azure Flow,Platform,2,6,2018
Azure API Manager,Platform,2,7,2024
React Native,Framework,1,5,2019
Flutter,Framework,1,5,2019
Dart,Language,1,5,2019
Python,Language,1,6,2023
GitHub,Tools,8,9,2024
Jira,Tools,6,8,2024
Azure DevOps,Tools,5,8,2023
AWS DevOps,Tools,4.5,8,2023
VS Code,Tools,8,10,2024.4
Visual Studio,Tools,12,10,2024.2
Android Studio,Tools,1,5,2019
Chrome Developer Tool,Tools,11,10,2024
Postman,Tools,7.5,10,2024.3
Fiddler,Tools,10.5,10,2023.5
